loc,Latitude,Longitude
Katsina,12.5630825,7.6207063
Ondo,7.0209686,5.0567477
Ekiti,7.736891,5.2738326
Anambra,6.2183136,6.9531842
Kogi,7.7949602,6.6868669
Borno,12.1875392,13.3080034
Kwara,8.8367891,4.6688487
Osun,7.5484047,4.4978307
Kaduna,10.3825318,7.8533226
Ogun,6.9788582,3.4389293
Bayelsa,4.7629786,6.028898
,46.3144754,11.0480288
Abia,5.4540953,7.5153071
Rivers,4.8416028,6.8604088
Taraba,8.0141334,10.7376336
Ebonyi,6.1996918,8.0348906
Kebbi,11.4167574,4.1074545
Enugu,6.5536094,7.4143061
Edo,6.6076575,5.9722713
Nasarawa,8.4387868,8.2382849
Delta,5.5273061,6.1784167
Kano,11.8948389,8.5364136
Yobe,12.1233242,11.5065937
Benue,7.3505747,8.7772877
Bauchi,10.6228284,10.0287754
Cross River,5.8671966,8.5204774
Niger,17.7356214,9.3238432
Adamawa,9.5129772,12.3881887
Plateau,9.0583446,9.6826289
Imo,5.5859456,7.0669651
Oyo,8.2151249,3.5642897
Zamfara,12.0078998,6.4191432
Sokoto,13.0611195,5.3152203
Jigawa,12.3252362,9.5103296
Gombe,10.38301,11.206567
Akwa Ibom,4.9880607,7.795178277855076
Lagos,6.4550575,3.3941795
